0	74.45	245.37
1	74.45	243.89
2	74.45	242.29
3	74.45	240.90
4	74.45	239.37
5	74.45	237.88
6	74.45	236.58
7	74.45	235.18
8	74.45	233.80
9	74.45	232.60
10	74.45	231.04
11	74.45	229.87
12	74.45	228.40
13	74.45	227.05
14	74.45	225.63
15	74.45	224.36
16	74.45	223.11
17	74.44	221.68
18	74.45	220.40
19	74.45	219.24
20	74.45	217.99
21	74.44	216.81
22	74.45	215.63
23	74.45	214.36
24	74.45	213.17
25	74.45	211.97
26	74.45	210.89
27	74.45	209.67
28	74.45	208.47
29	74.45	207.44
30	74.47	206.23
31	74.47	205.17
32	74.47	203.98
33	74.47	202.76
34	74.45	201.41
35	74.45	200.12
36	74.45	198.84
37	74.45	197.71
38	74.45	196.70
39	74.45	195.76
40	74.45	194.84
41	74.45	193.94
42	74.45	193.00
43	74.45	192.06
44	74.45	191.16
45	74.45	190.25
46	74.45	189.39
47	74.45	188.46
48	74.45	187.59
49	74.45	186.77
50	74.47	186.00
51	74.47	185.18
52	74.47	184.34
53	74.47	183.51
54	74.48	182.75
55	74.48	181.92
56	74.48	181.13
57	74.48	180.36
58	74.48	179.59
59	74.48	178.84
60	74.48	178.08
